center,left,right,steering,speed,throttle,brake
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_07_392.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_07_392.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_07_392.jpg,1,1,0,23.13579
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_07_475.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_07_475.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_07_475.jpg,1,1,0,23.73287
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_07_555.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_07_555.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_07_555.jpg,0,1,0,24.36751
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_07_636.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_07_636.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_07_636.jpg,0,1,0,25.09006
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_07_728.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_07_728.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_07_728.jpg,0,1,0,25.45347
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_07_809.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_07_809.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_07_809.jpg,0,1,0,25.98984
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_07_891.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_07_891.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_07_891.jpg,0,1,0,24.98498
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_07_967.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_07_967.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_07_967.jpg,0,1,0,25.26654
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_049.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_049.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_049.jpg,0.1,1,0,25.48702
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_126.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_126.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_126.jpg,0.3,1,0,25.36864
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_201.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_201.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_201.jpg,0.5000001,1,0,25.11915
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_280.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_280.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_280.jpg,0.7,1,0,25.32722
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_352.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_352.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_352.jpg,0.9000002,1,0,25.80172
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_431.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_431.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_431.jpg,1,1,0,25.44867
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_501.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_501.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_501.jpg,0,1,0,25.97896
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_574.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_574.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_574.jpg,0,1,0,26.52557
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_637.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_637.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_637.jpg,0,1,0,26.88125
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_712.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_712.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_712.jpg,0,1,0,27.17713
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_781.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_781.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_781.jpg,0,1,0,27.42781
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_856.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_856.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_856.jpg,0,1,0,27.49777
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_08_929.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_08_929.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_08_929.jpg,0,1,0,27.94845
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_001.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_001.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_001.jpg,0,1,0,28.18721
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_071.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_071.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_071.jpg,0,1,0,28.24073
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_143.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_143.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_143.jpg,0,1,0,27.91229
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_226.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_226.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_226.jpg,-0.15,1,0,28.20743
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_286.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_286.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_286.jpg,-0.35,1,0,27.99804
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_361.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_361.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_361.jpg,-0.5000001,1,0,27.66346
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_442.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_442.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_442.jpg,-0.7,1,0,27.45635
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_507.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_507.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_507.jpg,-0.9000002,1,0,27.3336
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_583.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_583.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_583.jpg,-1,1,0,27.04605
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_671.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_671.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_671.jpg,-1,1,0,26.97384
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_746.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_746.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_746.jpg,0,1,0,27.41539
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_820.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_820.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_820.jpg,0,1,0,28.24905
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_900.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_900.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_900.jpg,0,1,0,29.4243
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_09_980.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_09_980.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_09_980.jpg,-0.2,1,0,30.31183
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_055.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_055.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_055.jpg,-0.4,1,0,30.23253
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_135.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_135.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_135.jpg,-0.6000001,1,0,30.06886
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_206.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_206.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_206.jpg,0,1,0,30.14237
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_284.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_284.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_284.jpg,0,1,0,30.19698
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_352.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_352.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_352.jpg,0,1,0,30.12115
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_427.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_427.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_427.jpg,-0.2,1,0,30.13612
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_502.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_502.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_502.jpg,0,1,0,30.16317
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_577.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_577.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_577.jpg,0,1,0,30.17817
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_653.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_653.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_653.jpg,0,1,0,30.19011
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_729.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_729.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_729.jpg,0,1,0,30.19038
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_804.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_804.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_804.jpg,-0.2,1,0,30.18062
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_876.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_876.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_876.jpg,-0.35,1,0,30.16435
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_10_950.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_10_950.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_10_950.jpg,0,1,0,30.18751
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_024.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_024.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_024.jpg,0,1,0,30.18939
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_094.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_094.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_094.jpg,0,1,0,30.18984
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_165.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_165.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_165.jpg,0,1,0,30.19028
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_237.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_237.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_237.jpg,0,1,0,30.19032
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_314.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_314.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_314.jpg,0,1,0,30.19029
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_385.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_385.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_385.jpg,0,1,0,30.19034
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_462.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_462.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_462.jpg,0,1,0,30.1903
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_537.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_537.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_537.jpg,-0.1,1,0,30.18753
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_614.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_614.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_614.jpg,-0.3,1,0,30.16928
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_690.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_690.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_690.jpg,0,0.7721494,0,30.12178
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_768.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_768.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_768.jpg,0,0.5407065,0,30.06115
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_843.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_843.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_843.jpg,0,0.3132336,0,30.00349
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_918.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_918.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_918.jpg,0,0.08933091,0,29.93377
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_11_996.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_11_996.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_11_996.jpg,0,0,0,29.71039
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_072.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_072.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_072.jpg,0,0,0.1079749,29.17407
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_165.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_165.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_165.jpg,0,0,0.3472714,27.75339
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_243.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_243.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_243.jpg,0,0,0.5775349,26.3489
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_323.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_323.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_323.jpg,0,0,0.334629,24.96067
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_403.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_403.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_403.jpg,0,0,0.09787558,23.58917
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_486.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_486.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_486.jpg,0,0,0,22.64191
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_551.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_551.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_551.jpg,0,0,0,22.44129
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_632.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_632.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_632.jpg,0,0,0,22.25645
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_715.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_715.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_715.jpg,0,0,0,22.0801
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_795.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_795.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_795.jpg,0,0,0,21.90596
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_877.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_877.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_877.jpg,0,0,0,21.73321
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_12_963.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_12_963.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_12_963.jpg,0,0,0,21.23092
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_045.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_045.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_045.jpg,0.2,0,0,21.03776
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_125.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_125.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_125.jpg,0.4,0,0,20.79824
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_207.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_207.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_207.jpg,0.6000001,0,0,20.51215
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_287.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_287.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_287.jpg,0,0,0,20.28304
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_367.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_367.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_367.jpg,0,0,0,20.09137
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_443.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_443.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_443.jpg,0,0,0,19.9194
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_534.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_534.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_534.jpg,0,0,0.2333249,19.55903
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_614.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_614.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_614.jpg,0,0,0.4655708,18.2481
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_693.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_693.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_693.jpg,0,0,0.7069713,16.95185
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_771.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_771.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_771.jpg,0,0,0.938335,15.83452
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_852.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_852.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_852.jpg,-0.1,0,1,14.77927
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_13_930.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_13_930.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_13_930.jpg,-0.3,0,0.7668983,13.56081
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_011.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_011.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_011.jpg,-0.5000001,0,0.5219835,12.32213
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_090.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_090.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_090.jpg,-0.7,0,0.2824786,11.08905
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_169.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_169.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_169.jpg,-0.9000002,0,0.04552208,9.848431
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_236.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_236.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_236.jpg,-1,0,0,9.356259
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_317.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_317.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_317.jpg,-1,0,0,9.379717
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_396.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_396.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_396.jpg,-1,0,0,9.507195
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_475.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_475.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_475.jpg,-1,0,0,9.636533
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_558.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_558.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_558.jpg,-1,0.2494952,0,9.928601
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_638.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_638.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_638.jpg,-1,0.4873276,0,10.43992
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_715.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_715.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_715.jpg,0,0.7204103,0,11.02665
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_796.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_796.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_796.jpg,0,0.9629946,0,12.13397
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_890.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_890.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_890.jpg,-0.1,1,0,12.68701
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_14_967.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_14_967.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_14_967.jpg,-0.3,1,0,13.50182
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_45_15_044.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_45_15_044.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_45_15_044.jpg,-0.5000001,1,0,14.24332
